ST_NAME,PC_NAME,ST_CODE,PC_CODE,Res,PC_NAME2,myneta PC_NAME_myneta PC_Name,myneta Sno,myneta Candidate,myneta Party,myneta Criminal Case,myneta Education,myneta Education Points,myneta Total Assets,myneta Liabilities
HR,Sonipat,S07,6,GEN,Sonipat,,481,Ramesh Kaushik,BJP,0,Graduate Professional,17,142840716,0
HR,Gurgaon,S07,9,GEN,Gurgaon,,201,Inderjit Singh,BJP,0,Graduate Professional,17,250698763,0
HR,Faridabad,S07,10,GEN,Faridabad,,173,Krishan Pal,BJP,0,Graduate Professional,17,296440144,19707475
JK,Leh (Ladakh),S09,4,GEN,Ladakh,Ladakh,309,Thupstan Chhewang,BJP,0,Graduate Professional,17,19852701,80000
JK,Srinagar,S09,2,GEN,Srinagar,,486,Tariq Hameed Karra,JKPDP,0,Graduate Professional,17,984556436,1500000
JK,Anantnag,S09,3,GEN,Anantnag,,28,Mehbooba Mufti,JKPDP,1,Graduate Professional,17,5200000,0
JK,Udhampur,S09,5,GEN,Udhampur,,517,Dr. Jitendra Singh,BJP,0,Graduate Professional,17,38464932,11881
KA,Gulbarga,S10,5,SC,Gulbarga,,197,Mallikarjun Kharge,INC,0,Graduate Professional,17,102220880,7410154
KA,Raichur,S10,6,ST,Raichur,,422,B.V.Nayak,INC,0,Graduate Professional,17,73502466,0
KA,Chikkaballapura,S10,27,GEN,Chikkballapur,Chikkballapur,129,M Veerappa Moily,INC,0,Graduate Professional,17,137366682,39433827
KA,Tumkur,S10,19,GEN,Tumkur,,514,S.P.Muddahanumegowda,INC,0,Graduate Professional,17,30273812,0
KA,Kolar,S10,28,SC,Kolar,,293,K H Muniyappa,INC,0,Graduate Professional,17,184663000,27863000
KA,Bangalore North,S10,24,GEN,Bangalore North,,58,D.V. Sadananda Gowda,BJP,0,Graduate Professional,17,98888874,37020152
KA,Bidar,S10,7,GEN,Bidar,,103,Bhagwanth,BJP,0,Graduate Professional,17,56559290,16829000
KA,Belgaum,S10,2,GEN,Belgaum,,85,Suresh Angadi,BJP,1,Graduate Professional,17,417003065,366283849
KA,Bangalore South,S10,26,GEN,Bangalore South,,60,Ananth Kumar,BJP,0,Graduate Professional,17,45224706,2883233
KA,Bagalkot,S10,3,GEN,Bagalkot,,47,P.C. Gaddigoudar,BJP,0,Graduate Professional,17,36362500,9589199
KL,Malappuram,S11,6,GEN,Malappuram,,330,E. Ahamed,IUML,0,Graduate Professional,17,11818952,0
